GEOIDFQ,cat4_mom_slosh_hightide_maximum,emergency_shelters_count,FEMA_SFHA_intersect,fire_stations_count,igtn_prob_test_maximum,n10_landslide_susc_maximum,onsite_sewage_disposal_count,police_stations_count,slrxa_3pt2ft_acres,staterf_inann_mean,wastewater_plants_count,GEO_ID,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B25046_001E,B27010_017E,B27010_033E,B27010_050E,B27010_066E,B28002_013E,C16002_004E,C16002_007E,C16002_010E,C16002_013E,B09019_005E,B09019_008E,B19101_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,state,county,tract,block group,GEO_ID_2,B05013_017E,B05013_018E,B05013_019E,B01001_017E,B01001_018E,B01001_019E,B01001_016E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B25008_003E,GEO_ID_2.1,P5_002N,P5_003N,P5_004N,P5_005N,P5_008N,P5_009N,P5_010N
1500000US150030102051,12.0,1,1,1,0.40000000596,81.0,339,1,129.604577745,78.6000082435,2,1500000US150030102051,Block Group 1; Census Tract 102.05; Honolulu County; Hawaii,1494,43,233,94,45,82,0,988.0,0,0,27,0,18,0,0,12,7,30,96,413,33,58,19,58,15,0,,41,51,76,16,19,32,15,3,10205,1,1500000US150030102051,,,,45,5,12,109,30,34,30,17,0,6,581,9,0,103,135,9,657,401,1500000US150030102051,0,0,0,0,0,0,26
1500000US150030080011,12.0,1,1,1,0.839999973774,17.0,1,1,12.8055691376,27.831661733,1,1500000US150030080011,Block Group 1; Census Tract 80.01; Honolulu County; Hawaii,2218,78,78,25,63,20,64,1136.0,8,0,25,0,104,0,0,51,0,116,199,357,73,102,95,156,250,39,,48,94,68,67,14,17,15,3,8001,1,1500000US150030080011,,,,37,39,84,72,42,43,104,100,29,103,96,23,7,1291,177,5,619,1098,1500000US150030080012,0,0,0,0,0,0,0
1500000US150070408001,11.0,1,1,1,0.910000026226,81.0,64,1,122.055792763,35.431419399,1,1500000US150070408001,Block Group 1; Census Tract 408; Kauai County; Hawaii,2119,3,81,5,0,65,332,1089.0,0,27,114,0,55,0,0,33,0,15,33,384,56,124,146,217,600,21,,50,55,61,145,30,34,15,7,40800,1,1500000US150070408001,,,,156,44,11,29,16,42,27,13,75,32,17,0,16,1565,250,2,269,1925,1500000US150070408003,0,0,0,0,0,0,30
1500000US150010202021,13.0,1,1,1,0.870000004768,81.0,210,1,1.23748429572,170.00046925,2,1500000US150010202021,Block Group 1; Census Tract 202.02; Hawaii County; Hawaii,1279,43,31,24,35,22,72,561.0,0,0,0,0,48,0,0,1,0,32,21,176,24,41,0,69,265,0,,0,122,9,9,3,0,15,1,20202,1,1500000US150010202021,,,,79,4,33,70,20,1,20,26,5,0,584,14,1,166,254,22,238,113,1500000US150010202021,320,320,0,0,0,0,0
1500000US150010221021,9.0,1,0,1,0.97000002861,81.0,418,1,56.1030580613,145.636099405,1,1500000US150010221021,Block Group 1; Census Tract 221.02; Hawaii County; Hawaii,511,16,20,17,0,65,93,499.0,0,0,18,0,39,0,19,21,0,77,26,150,58,34,38,0,32,40,,0,0,0,0,46,38,15,1,22102,1,1500000US150010221021,,,,28,0,24,20,42,6,21,20,0,5,228,25,0,73,39,0,146,141,1500000US150010221021,0,0,0,0,0,0,0
1500000US150010220001,8.0,1,0,1,0.939999997616,81.0,476,1,3.44031815316,71.3413477973,1,1500000US150010220001,Block Group 1; Census Tract 220; Hawaii County; Hawaii,1247,120,83,53,18,45,121,1086.0,11,0,52,0,107,0,0,0,6,13,66,345,86,21,31,0,0,79,,90,48,3,31,8,22,15,1,22000,1,1500000US150010220001,,,,50,11,20,18,0,0,62,33,3,24,595,0,23,112,151,12,354,350,1500000US150010220001,0,0,0,0,0,0,0
1500000US150010203001,17.0,1,1,1,0.839999973774,74.0,309,1,0.150082697259,164.58758808,1,1500000US150010203001,Block Group 1; Census Tract 203; Hawaii County; Hawaii,1353,19,88,28,89,68,20,,22,0,18,0,47,0,0,25,0,21,61,284,57,10,61,141,9,0,,22,12,34,48,29,33,15,1,20300,1,1500000US150010203001,,,,11,30,10,71,13,81,14,30,65,12,313,1,0,258,326,2,453,150,1500000US150010203001,333,0,0,333,0,0,11
1500000US150010210131,11.0,2,1,1,0.829999983311,43.0,380,1,33.6425098205,134.090057244,1,1500000US150010210131,Block Group 1; Census Tract 210.13; Hawaii County; Hawaii,1024,80,116,90,46,17,22,662.0,0,23,0,0,97,0,0,26,23,68,79,226,40,59,88,99,68,12,,42,13,26,67,14,18,15,1,21013,1,1500000US150010210131,,,,15,12,37,72,5,28,12,67,6,43,129,0,0,386,64,29,416,332,1500000US150010210131,0,0,0,0,0,0,13
1500000US150010211011,9.0,1,1,1,0.819999992847,81.0,447,1,201.093067176,99.7263958063,1,1500000US150010211011,Block Group 1; Census Tract 211.01; Hawaii County; Hawaii,104,42,11,0,0,0,0,98.0,0,0,12,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,,0,0,0,0,0,0,15,1,21101,1,1500000US150010211011,,,,0,0,11,17,0,0,0,0,0,0,104,0,0,0,0,0,0,0,1500000US150010211011,0,0,0,0,0,0,10
1500000US150010219021,9.0,1,1,1,0.949999988079,81.0,580,1,94.2778200353,81.8184645334,1,1500000US150010219021,Block Group 1; Census Tract 219.02; Hawaii County; Hawaii,1407,43,14,16,116,14,177,1217.0,0,30,85,0,56,0,0,0,0,109,11,346,39,6,32,0,102,54,,51,36,74,2,1,57,15,1,21902,1,1500000US150010219021,,,,84,17,71,38,26,15,5,12,4,4,504,0,0,98,396,12,397,127,1500000US150010219023,0,0,0,0,0,0,5
1500000US150010213003,11.0,1,1,2,0.939999997616,81.0,937,1,151.051419985,35.2722656643,1,1500000US150010213003,Block Group 3; Census Tract 213; Hawaii County; Hawaii,2489,239,313,139,64,0,9,2156.0,0,4,68,44,35,0,0,23,0,107,189,621,573,71,75,43,0,100,,0,0,7,9,31,56,15,1,21300,3,1500000US150010213003,,,,143,14,121,108,79,211,94,34,22,42,1610,83,35,444,68,49,200,235,1500000US150010213003,0,0,0,0,0,0,29
1500000US150010218002,10.0,1,1,1,1.0,81.0,887,1,95.7701796339,35.9739147983,1,1500000US150010218002,Block Group 2; Census Tract 218; Hawaii County; Hawaii,2281,105,9,3,89,0,20,2216.0,5,3,125,0,100,0,0,11,2,15,152,733,13,48,152,12,127,41,,69,55,92,9,14,80,15,1,21800,2,1500000US150010218002,,,,140,8,12,176,83,184,98,13,15,13,1005,2,0,216,347,2,709,159,1500000US150010218004,0,0,0,0,0,0,6
1500000US150090318012,9.0,2,1,1,0.860000014305,81.0,337,1,14.2214943641,34.9121612292,1,1500000US150090318012,Block Group 2; Census Tract 318.01; Maui County; Hawaii,1750,27,109,122,49,55,50,1016.0,0,7,7,0,119,0,0,18,0,27,48,404,149,136,108,145,179,33,,66,77,89,48,31,59,15,9,31801,2,1500000US150090318012,,,,48,24,27,29,48,40,38,29,17,11,131,0,0,204,846,5,564,317,1500000US150090318012,0,0,0,0,0,0,3
