Table,Field Name,Field Alias
main.data_2022_acs_acs5_CBG,OBJECTID,OBJECTID
main.data_2022_acs_acs5_CBG,GEO_ID,Geography
main.data_2022_acs_acs5_CBG,NAME,NAME
main.data_2022_acs_acs5_CBG,B27010_001E,Estimate Total:
main.data_2022_acs_acs5_CBG,B27010_004E,Estimate Total: Under 19 years: With one type of health insurance coverage: With employer-based health insurance only
main.data_2022_acs_acs5_CBG,B27010_007E,Estimate Total: Under 19 years: With one type of health insurance coverage: With Medicaid/means-tested public coverage only
main.data_2022_acs_acs5_CBG,B27010_008E,Estimate Total: Under 19 years: With one type of health insurance coverage: With TRICARE/military health coverage only
main.data_2022_acs_acs5_CBG,B27010_009E,Estimate Total: Under 19 years: With one type of health insurance coverage: With VA Health Care only
main.data_2022_acs_acs5_CBG,B27010_017E,Estimate Total: Under 19 years: No health insurance coverage
main.data_2022_acs_acs5_CBG,state,state
main.data_2022_acs_acs5_CBG,county,county
main.data_2022_acs_acs5_CBG,tract,tract
main.data_2022_acs_acs5_CBG,block_group,block group
main.data_2022_acs_acs5_CBG,GEO_ID_2,GEO_ID_2
main.data_2022_acs_acs5_Fields,OBJECTID,OBJECTID
main.data_2022_acs_acs5_Fields,index_,index
main.data_2022_acs_acs5_Fields,label,label
main.data_2022_acs_acs5_Fields,concept,concept
main.data_2022_acs_acs5_Fields,predicateType,predicateType
main.data_2022_acs_acs5_Fields,group_,group
main.data_2022_acs_acs5_Fields,limit_,limit
main.data_2022_acs_acs5_Fields,predicateOnly,predicateOnly
main.data_2022_acs_acs5_Fields,hasGeoCollectionSupport,hasGeoCollectionSupport
main.data_2022_acs_acs5_Fields,attributes,attributes
main.data_2022_acs_acs5_Fields,required,required
