GEO_ID,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B25046_001E,B27010_017E,B27010_033E,B27010_050E,B27010_066E,B28002_013E,C16002_004E,C16002_007E,C16002_010E,C16002_013E,B09019_005E,B09019_008E,B19101_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,state,county,tract,block group,GEO_ID_2,GEO_ID_2,P5_002N,P5_003N,P5_004N,P5_005N,P5_008N,P5_009N,P5_010N
1500000US150010201001,Block Group 1; Census Tract 201; Hawaii County; Hawaii,1462,82,294,87,17,5,9,813,0,42,40,0,160,0,0,53,0,79,49,330,211,140,38,15,210,3,,37,39,76,46,15,24,15,001,020100,1,1500000US150010201001,1500000US150010201002,0,0,0,0,0,0,0
1500000US150010201002,Block Group 2; Census Tract 201; Hawaii County; Hawaii,602,24,7,57,28,29,76,505,7,42,7,7,45,0,0,4,0,31,46,166,46,7,9,26,15,1,,9,9,26,3,14,16,15,001,020100,2,1500000US150010201002,1500000US150010201001,0,0,0,0,0,0,0
1500000US150010201003,Block Group 3; Census Tract 201; Hawaii County; Hawaii,1339,148,53,70,141,67,49,1399,0,2,15,0,58,0,0,15,0,61,54,403,47,55,1,39,74,101,,14,14,36,32,12,27,15,001,020100,3,1500000US150010201003,1500000US150010201003,0,0,0,0,0,0,13
1500000US150010201004,Block Group 4; Census Tract 201; Hawaii County; Hawaii,1096,32,48,56,45,24,144,789,0,14,14,20,47,2,0,0,12,22,46,245,27,118,12,27,125,0,,8,13,62,37,19,13,15,001,020100,4,1500000US150010201004,1500000US150010201004,0,0,0,0,0,0,0
1500000US150010202021,Block Group 1; Census Tract 202.02; Hawaii County; Hawaii,1279,43,31,24,35,22,72,561,0,0,0,0,48,0,0,1,0,32,21,176,24,41,0,69,265,0,,0,122,9,9,3,0,15,001,020202,1,1500000US150010202021,1500000US150010202021,320,320,0,0,0,0,0
1500000US150010202022,Block Group 2; Census Tract 202.02; Hawaii County; Hawaii,1023,46,110,61,24,25,68,729,0,0,15,0,37,0,0,11,0,52,58,248,36,41,50,53,47,32,,22,30,16,6,9,26,15,001,020202,2,1500000US150010202022,1500000US150010202022,0,0,0,0,0,0,0
1500000US150010203001,Block Group 1; Census Tract 203; Hawaii County; Hawaii,1353,19,88,28,89,68,20,,22,0,18,0,47,0,0,25,0,21,61,284,57,10,61,141,9,0,,22,12,34,48,29,33,15,001,020300,1,1500000US150010203001,1500000US150010203001,333,0,0,333,0,0,11
1500000US150010203002,Block Group 2; Census Tract 203; Hawaii County; Hawaii,1149,128,283,11,0,45,119,496,0,0,47,0,93,0,0,0,0,57,141,266,84,364,63,51,260,40,,31,22,127,30,26,17,15,001,020300,2,1500000US150010203002,1500000US150010203002,0,0,0,0,0,0,19
1500000US150010203003,Block Group 3; Census Tract 203; Hawaii County; Hawaii,1665,184,92,223,40,83,221,819,0,25,6,0,115,7,0,7,81,227,258,335,239,248,168,121,106,86,,0,55,39,83,55,50,15,001,020300,3,1500000US150010203003,1500000US150010203003,88,88,0,0,0,0,43
1500000US150010204001,Block Group 1; Census Tract 204; Hawaii County; Hawaii,1304,79,109,100,29,0,0,569,0,40,36,0,54,0,0,27,0,36,17,337,126,398,0,0,113,0,,28,71,69,17,0,5,15,001,020400,1,1500000US150010204001,1500000US150010204001,0,0,0,0,0,0,0
1500000US150010204002,Block Group 2; Census Tract 204; Hawaii County; Hawaii,858,21,91,21,0,0,0,526,0,3,0,0,8,0,0,9,0,13,64,233,53,77,6,0,11,0,,0,136,0,0,5,7,15,001,020400,2,1500000US150010204002,1500000US150010204002,0,0,0,0,0,0,0
