GEO_ID,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B25046_001E,B27010_017E,B27010_033E,B27010_050E,B27010_066E,B28009E_006E,B28002_013E,B16002_004E,B16002_007E,B16002_010E,B16002_013E,B16002_016E,B16002_019E,B16002_022E,B16002_025E,B16002_028E,B16002_031E,B16002_034E,B16002_037E,C16002_004E,C16002_007E,C16002_010E,C16002_013E,B09019_005E,B09019_008E,B19101A_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,B20005_002E,B01001G_003E,B01001G_004E,B01001G_005E,B01001G_006E,B01001_020E,B01001_021E,state,county,tract,block group,GEO_ID_2,B05013_017E,B05013_018E,B05013_019E,B01001B_016E,B01001B_017E,B01001B_018E,B01001B_019E,B01001_044E,B01001_045E,B05013_036E,B05013_037E,B05013_038E,B01001B_031E,B26203_003E,B26203_004E,B26203_005E,B26203_006E,B26203_007E,B26203_008E,B26203_009E,B26203_010E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B25008D_003E,B16001_005E,B16001_008E,B16001_011E,B16001_014E,B16001_017E,B16001_020E,B16001_023E,B16001_026E,B16001_029E,B16001_032E,B16001_035E,B16001_038E
1500000US150010201001,Block Group 1; Census Tract 201; Hawaii County; Hawaii,1462,82,294,87,17,5,9,813,0,42,40,0,97,160,,,,,,,,,,,,,0,0,53,0,79,49,,211,140,38,15,210,3,,,,,,15,24,15,001,020100,1,1500000US150010201001,,,,,,,,3,0,,,,,,,,,,,,,178,0,14,450,418,21,381,49,,,,,,,,,,,,
1500000US150010201002,Block Group 2; Census Tract 201; Hawaii County; Hawaii,602,24,7,57,28,29,76,505,7,42,7,7,1,45,,,,,,,,,,,,,0,0,4,0,31,46,,46,7,9,26,15,1,,,,,,14,16,15,001,020100,2,1500000US150010201002,,,,,,,,5,9,,,,,,,,,,,,,222,2,0,125,28,69,156,8,,,,,,,,,,,,
1500000US150010201003,Block Group 3; Census Tract 201; Hawaii County; Hawaii,1339,148,53,70,141,67,49,1399,0,2,15,0,0,58,,,,,,,,,,,,,0,0,15,0,61,54,,47,55,1,39,74,101,,,,,,12,27,15,001,020100,3,1500000US150010201003,,,,,,,,22,54,,,,,,,,,,,,,435,3,0,272,65,1,563,47,,,,,,,,,,,,
1500000US150010201004,Block Group 4; Census Tract 201; Hawaii County; Hawaii,1096,32,48,56,45,24,144,789,0,14,14,20,0,47,,,,,,,,,,,,,2,0,0,12,22,46,,27,118,12,27,125,0,,,,,,19,13,15,001,020100,4,1500000US150010201004,,,,,,,,19,39,,,,,,,,,,,,,146,0,0,310,70,36,534,87,,,,,,,,,,,,
1500000US150010202021,Block Group 1; Census Tract 202.02; Hawaii County; Hawaii,1279,43,31,24,35,22,72,561,0,0,0,0,0,48,,,,,,,,,,,,,0,0,1,0,32,21,,24,41,0,69,265,0,,,,,,3,0,15,001,020202,1,1500000US150010202021,,,,,,,,20,1,,,,,,,,,,,,,584,14,1,166,254,22,238,0,,,,,,,,,,,,
1500000US150010202022,Block Group 2; Census Tract 202.02; Hawaii County; Hawaii,1023,46,110,61,24,25,68,729,0,0,15,0,6,37,,,,,,,,,,,,,0,0,11,0,52,58,,36,41,50,53,47,32,,,,,,9,26,15,001,020202,2,1500000US150010202022,,,,,,,,16,32,,,,,,,,,,,,,242,13,0,328,34,4,402,53,,,,,,,,,,,,
1500000US150010203001,Block Group 1; Census Tract 203; Hawaii County; Hawaii,1353,19,88,28,89,68,20,,22,0,18,0,0,47,,,,,,,,,,,,,0,0,25,0,21,61,,57,10,61,141,9,0,,,,,,29,33,15,001,020300,1,1500000US150010203001,,,,,,,,13,81,,,,,,,,,,,,,313,1,0,258,326,2,453,0,,,,,,,,,,,,
1500000US150010203002,Block Group 2; Census Tract 203; Hawaii County; Hawaii,1149,128,283,11,0,45,119,496,0,0,47,0,0,93,,,,,,,,,,,,,0,0,0,0,57,141,,84,364,63,51,260,40,,,,,,26,17,15,001,020300,2,1500000US150010203002,,,,,,,,8,12,,,,,,,,,,,,,357,41,0,26,72,31,622,0,,,,,,,,,,,,
1500000US150010203003,Block Group 3; Census Tract 203; Hawaii County; Hawaii,1665,184,92,223,40,83,221,819,0,25,6,0,0,115,,,,,,,,,,,,,7,0,7,81,227,258,,239,248,168,121,106,86,,,,,,55,50,15,001,020300,3,1500000US150010203003,,,,,,,,35,107,,,,,,,,,,,,,493,0,0,221,285,33,633,128,,,,,,,,,,,,
1500000US150010204001,Block Group 1; Census Tract 204; Hawaii County; Hawaii,1304,79,109,100,29,0,0,569,0,40,36,0,0,54,,,,,,,,,,,,,0,0,27,0,36,17,,126,398,0,0,113,0,,,,,,0,5,15,001,020400,1,1500000US150010204001,,,,,,,,3,24,,,,,,,,,,,,,120,0,0,217,165,33,769,286,,,,,,,,,,,,
1500000US150010204002,Block Group 2; Census Tract 204; Hawaii County; Hawaii,858,21,91,21,0,0,0,526,0,3,0,0,8,8,,,,,,,,,,,,,0,0,9,0,13,64,,53,77,6,0,11,0,,,,,,5,7,15,001,020400,2,1500000US150010204002,,,,,,,,31,26,,,,,,,,,,,,,84,0,0,310,8,0,456,65,,,,,,,,,,,,
